,Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,joined_days,Age,Living_With,Children,Family_Size,Is_Parent
263,Postgraduate,37717.0,31,9,0,6,4,1,5,1,1,0,2,9,4687,46,Partner,1,3,1
264,Postgraduate,43776.0,9,177,2,71,3,2,20,6,5,2,4,8,4341,72,Partner,2,4,1
265,Postgraduate,38179.0,30,38,4,22,4,2,20,4,3,1,3,7,4330,58,Partner,2,4,1
266,Graduate,80124.0,47,483,84,398,205,84,241,1,3,7,8,1,3953,61,Partner,0,2,0
267,Postgraduate,38097.0,70,77,2,35,0,1,69,4,3,2,2,7,4695,54,Partner,2,4,1
268,Graduate,72940.0,13,182,74,298,162,149,116,1,3,3,6,1,4325,54,Partner,0,2,0
269,Graduate,22070.0,11,10,7,19,8,2,21,2,2,2,2,6,4340,54,Partner,1,3,1
270,Graduate,69267.0,31,778,44,499,95,73,146,2,3,4,5,7,4688,71,Alone,0,1,0
271,Postgraduate,31788.0,15,16,7,23,0,8,6,3,3,0,4,5,3959,41,Alone,1,2,1
272,Postgraduate,61905.0,2,167,0,43,6,2,13,2,4,2,4,5,3975,49,Partner,1,3,1
273,Graduate,29315.0,55,13,2,14,8,7,4,4,2,0,4,6,3973,64,Partner,2,4,1
274,Graduate,33378.0,38,33,6,40,3,7,10,3,2,0,4,7,4338,61,Alone,2,3,1
275,Postgraduate,66313.0,86,625,7,99,10,22,7,2,6,3,12,4,4328,61,Partner,1,3,1
276,Graduate,60714.0,56,216,162,224,101,92,162,2,7,4,10,5,4327,68,Alone,0,1,0
277,Postgraduate,77882.0,29,68,129,396,188,22,15,1,3,3,5,1,3949,43,Partner,0,2,0
278,Postgraduate,69867.0,30,196,0,512,33,130,54,1,3,5,8,1,4342,38,Alone,0,1,0
279,Postgraduate,63841.0,64,635,15,100,20,7,131,1,9,3,9,6,4323,56,Alone,1,2,1
280,Undergraduate,24480.0,46,4,19,9,28,25,17,3,3,0,4,7,4333,43,Partner,1,3,1
281,Graduate,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,4685,48,Partner,1,3,1
282,Graduate,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,4679,78,Partner,0,2,0
283,Postgraduate,65640.0,74,204,7,149,20,15,66,1,5,1,8,2,3978,50,Partner,1,3,1
284,Postgraduate,44319.0,18,26,0,8,0,0,3,2,2,0,3,5,3962,49,Partner,2,4,1
285,Graduate,30631.0,75,15,6,20,4,5,20,1,3,1,2,7,4332,50,Partner,1,3,1
286,Graduate,75278.0,17,304,98,230,150,74,74,1,6,3,13,3,4315,72,Partner,0,2,0
287,Postgraduate,50898.0,88,285,28,242,55,114,135,13,6,2,12,5,4336,68,Partner,2,4,1
288,Graduate,79946.0,19,395,183,565,166,141,28,1,5,11,5,3,3967,58,Alone,0,1,0
289,Postgraduate,35416.0,62,248,3,81,4,3,51,3,7,1,5,8,4331,75,Alone,0,1,0
290,Undergraduate,32414.0,11,20,6,5,0,9,12,1,1,0,3,7,4340,40,Partner,0,2,0
291,Graduate,38361.0,74,39,0,56,20,8,14,3,3,1,3,7,4317,55,Partner,1,3,1
292,Graduate,82497.0,32,777,129,573,216,21,203,1,2,7,9,4,4679,44,Partner,0,2,0
293,Graduate,16626.0,76,8,3,22,21,1,13,3,3,0,3,9,3964,53,Partner,2,4,1
294,Graduate,29672.0,6,9,1,3,0,4,8,1,0,0,3,6,4332,59,Partner,2,4,1
295,Postgraduate,55951.0,62,1241,0,80,0,13,40,3,3,6,11,8,4687,72,Partner,1,3,1
296,Undergraduate,35388.0,20,6,4,7,4,3,8,1,1,0,3,7,4337,36,Alone,1,2,1
297,Postgraduate,42386.0,43,65,4,16,0,4,11,1,3,0,3,8,4331,38,Partner,1,3,1
298,Graduate,68627.0,45,395,15,263,60,54,38,1,2,3,6,1,4332,42,Alone,0,1,0
299,Postgraduate,57912.0,34,801,0,80,0,0,35,5,8,3,12,5,3962,59,Alone,1,2,1
300,Graduate,35246.0,53,36,0,12,2,2,10,4,3,1,3,5,3963,66,Alone,2,3,1
301,Undergraduate,58821.0,44,513,14,154,19,0,28,1,9,2,9,6,4332,68,Partner,1,3,1
302,Postgraduate,46377.0,89,37,0,46,4,3,0,1,2,1,3,4,3978,46,Partner,1,3,1
303,Graduate,39747.0,43,80,15,93,20,13,52,3,5,1,4,8,3966,36,Alone,1,2,1
304,Graduate,23976.0,68,14,1,21,2,3,25,3,3,1,3,7,4317,40,Partner,1,3,1
305,Postgraduate,80950.0,44,525,147,112,219,147,63,1,6,7,9,2,4316,63,Partner,0,2,0
306,Graduate,27038.0,64,1,26,25,17,23,15,1,3,0,3,9,4692,58,Alone,0,1,0
307,Graduate,77457.0,85,675,11,400,15,45,11,1,2,5,10,1,3974,77,Alone,0,1,0
308,Postgraduate,64100.0,93,509,0,27,0,0,10,1,8,3,6,7,4334,60,Partner,1,3,1
309,Postgraduate,42670.0,12,154,2,46,20,4,15,1,4,2,4,4,4317,32,Partner,0,2,0
310,Graduate,12571.0,86,3,5,14,2,12,17,4,3,1,3,6,3961,48,Alone,1,2,1
311,Graduate,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,4316,57,Partner,3,5,1
312,Graduate,52247.25135379061,69,861,138,461,60,30,61,1,6,5,12,3,4341,35,Partner,0,2,0
313,Postgraduate,70893.0,42,768,44,561,77,44,14,1,6,6,10,3,4338,48,Alone,0,1,0
314,Graduate,54198.0,13,185,0,28,3,2,17,6,3,1,6,4,4327,58,Partner,2,4,1
315,Postgraduate,28839.0,86,24,0,7,0,0,1,2,2,0,3,5,3968,68,Partner,2,4,1
316,Graduate,40321.0,59,44,4,21,6,0,27,2,3,0,3,7,4315,52,Partner,2,4,1
317,Graduate,66503.0,30,91,64,128,65,3,50,2,4,3,6,3,4696,39,Alone,1,2,1
318,Graduate,30833.0,33,11,0,7,3,1,6,2,1,0,3,5,4328,73,Partner,2,4,1
319,Graduate,52247.25135379061,67,738,20,172,52,50,20,6,2,3,10,7,4321,54,Alone,3,4,1
320,Graduate,64795.0,23,412,5,119,38,29,77,3,3,3,12,2,4327,53,Partner,1,3,1
321,Graduate,34421.0,81,3,3,7,6,2,9,1,1,0,2,7,4343,50,Partner,1,3,1
322,Postgraduate,47025.0,6,16,0,3,0,0,1,1,1,0,2,7,3970,59,Alone,2,3,1
323,Postgraduate,64325.0,41,731,60,353,78,12,73,5,10,3,5,7,4337,63,Alone,1,2,1
324,Graduate,40464.0,78,424,17,118,7,23,41,6,8,2,8,8,4333,71,Alone,1,2,1
325,Graduate,62187.0,49,792,0,275,45,45,126,1,4,8,5,3,4339,67,Partner,0,2,0
326,Postgraduate,14849.0,39,21,2,28,3,2,9,3,2,0,4,8,4342,48,Alone,1,2,1
327,Graduate,27255.0,3,22,1,11,0,1,2,1,1,0,3,7,4337,40,Partner,1,3,1
328,Postgraduate,54432.0,37,33,0,5,0,0,0,1,1,0,3,4,4335,74,Partner,3,5,1
329,Postgraduate,29999.0,22,68,7,59,10,5,11,4,3,1,4,8,4331,38,Alone,1,2,1
330,Graduate,24072.0,79,9,1,6,3,0,4,1,1,0,2,8,4328,41,Alone,1,2,1
331,Postgraduate,33996.0,46,40,2,15,8,0,6,1,1,1,3,4,4333,35,Alone,0,1,0
332,Postgraduate,66334.0,82,909,11,218,0,0,23,2,9,3,5,5,4341,68,Partner,1,3,1
333,Postgraduate,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,4334,53,Partner,1,3,1
334,Graduate,22010.0,51,11,2,9,3,0,8,2,2,0,3,8,4314,41,Partner,1,3,1
335,Graduate,62204.0,38,317,46,247,151,46,139,1,4,5,12,3,4698,64,Alone,2,3,1
336,Graduate,75693.0,10,797,153,293,72,97,30,1,11,4,6,4,4704,56,Alone,0,1,0
337,Graduate,30675.0,14,10,2,16,11,2,21,1,1,0,3,8,4698,52,Partner,1,3,1
338,Graduate,83003.0,18,856,61,570,40,25,122,1,7,6,8,3,4341,59,Partner,0,2,0
339,Postgraduate,83532.0,36,755,144,562,104,64,224,1,4,6,4,1,4318,125,Partner,0,2,0
340,Graduate,68655.0,95,456,19,832,75,118,38,1,4,5,11,3,4700,36,Alone,0,1,0
341,Graduate,41411.0,11,37,32,38,11,3,18,1,2,1,4,6,4337,38,Alone,0,1,0
342,Postgraduate,55212.0,65,1103,0,45,0,0,34,3,4,2,11,8,4687,55,Partner,1,3,1
343,Postgraduate,59292.0,71,378,14,68,19,14,14,2,3,5,8,3,4331,74,Partner,1,3,1
344,Undergraduate,27190.0,13,1,6,7,0,1,3,1,1,0,2,8,4329,51,Partner,1,3,1
345,Graduate,82623.0,58,204,34,204,172,153,173,1,2,9,4,1,4334,72,Alone,0,1,0
346,Graduate,44300.0,65,30,0,9,0,0,3,2,1,0,3,6,4321,59,Partner,2,4,1
347,Graduate,84835.0,0,189,104,379,111,189,218,1,4,4,6,1,3963,54,Alone,0,1,0
348,Graduate,30372.0,33,15,0,12,7,3,7,3,2,0,3,7,4685,53,Alone,2,3,1
349,Postgraduate,33181.0,90,9,0,3,0,0,4,1,1,0,2,6,3976,48,Partner,1,3,1
350,Graduate,71113.0,95,495,33,255,11,33,8,4,6,7,9,4,4327,67,Partner,1,3,1
351,Graduate,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,4334,38,Partner,1,3,1
352,Postgraduate,69759.0,38,452,20,514,13,30,0,3,4,6,5,3,4316,58,Alone,0,1,0
353,Graduate,72099.0,18,546,91,410,119,0,22,1,3,4,10,1,4683,50,Partner,0,2,0
354,Postgraduate,60000.0,57,1048,0,217,0,0,12,5,11,3,5,6,4688,48,Alone,1,2,1
355,Graduate,38643.0,45,22,2,14,0,1,10,2,2,0,3,7,4315,46,Alone,2,3,1
356,Graduate,50737.0,61,78,0,11,0,0,10,1,2,0,4,6,4333,69,Partner,1,3,1
357,Postgraduate,68462.0,6,561,64,785,84,128,48,1,3,3,8,1,4698,55,Partner,0,2,0
358,Postgraduate,65073.0,65,629,17,177,69,0,8,1,5,3,5,2,4324,81,Partner,0,2,0
359,Postgraduate,46681.0,52,269,15,69,15,19,38,2,4,6,4,5,4336,76,Partner,2,4,1
360,Graduate,78618.0,87,736,163,818,212,163,61,1,4,7,10,2,4682,67,Partner,0,2,0
361,Postgraduate,62187.0,38,512,0,83,0,0,41,3,6,2,10,4,3957,55,Alone,1,2,1
362,Graduate,28442.0,53,19,3,10,11,8,6,3,2,1,4,4,3955,46,Partner,2,4,1
363,Postgraduate,37717.0,31,9,0,6,4,1,5,1,1,0,2,9,4687,46,Partner,1,3,1
364,Graduate,51479.0,67,247,8,160,6,8,65,7,6,3,6,7,4682,57,Partner,2,4,1
365,Graduate,54803.0,65,404,0,92,28,27,142,2,6,2,9,4,4689,55,Alone,1,2,1
366,Graduate,79530.0,64,333,0,815,129,42,29,1,4,10,11,2,4327,64,Partner,0,2,0
367,Graduate,31615.0,82,2,3,20,6,11,9,2,2,0,3,7,4328,48,Alone,1,2,1
368,Graduate,72025.0,27,833,33,549,151,133,233,1,4,3,8,3,4693,62,Partner,0,2,0
369,Postgraduate,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,4709,49,Alone,1,2,1
370,Undergraduate,35684.0,66,10,4,7,0,6,3,1,1,0,3,6,3957,40,Partner,1,3,1
371,Graduate,48178.0,69,159,4,45,6,2,38,6,5,1,4,8,4682,49,Partner,2,4,1
372,Postgraduate,29548.0,52,7,1,6,3,1,11,1,1,1,2,4,4315,54,Alone,1,2,1
373,Graduate,63810.0,45,977,12,253,16,12,101,4,4,3,12,8,4699,58,Alone,1,2,1
374,Postgraduate,38578.0,2,38,4,22,3,3,3,3,3,0,3,8,4322,52,Alone,2,3,1
375,Postgraduate,46098.0,86,57,0,27,0,0,36,4,3,2,2,8,4692,49,Alone,2,3,1
376,Graduate,22585.0,23,3,9,15,13,2,39,1,1,1,2,9,4326,54,Alone,0,1,0
377,Graduate,30279.0,13,10,4,14,4,4,1,1,1,0,3,8,4680,35,Alone,1,2,1
378,Postgraduate,66426.0,14,1043,24,97,32,24,157,2,3,5,10,6,4342,63,Partner,1,3,1
379,Graduate,30822.0,92,3,9,13,2,12,12,1,1,0,3,7,4330,55,Alone,1,2,1
380,Postgraduate,33581.0,38,11,0,5,0,0,1,1,1,0,2,8,4336,55,Partner,2,4,1
381,Graduate,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,4330,39,Partner,1,3,1
382,Graduate,27421.0,14,43,12,96,78,40,55,3,4,1,6,7,4698,70,Alone,0,1,0
383,Undergraduate,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,4688,51,Partner,3,5,1
384,Postgraduate,36143.0,33,12,0,1,0,0,6,1,0,1,2,3,3949,43,Alone,1,2,1
385,Graduate,10245.0,32,4,7,7,6,4,13,3,1,2,2,5,4329,53,Alone,1,2,1
386,Postgraduate,43795.0,11,314,11,53,4,3,107,3,7,3,4,7,4328,56,Partner,1,3,1
387,Graduate,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,4705,64,Partner,1,3,1
388,Graduate,38823.0,56,70,0,11,2,8,23,1,2,1,3,6,4680,75,Partner,1,3,1
389,Postgraduate,83664.0,57,866,21,151,28,21,86,3,2,2,12,5,4336,56,Alone,2,3,1
390,Graduate,90300.0,7,594,134,786,33,134,57,0,5,6,8,1,3976,45,Partner,0,2,0
391,Postgraduate,62499.0,0,140,4,61,0,13,4,2,3,1,6,4,4335,45,Partner,1,3,1
392,Graduate,74293.0,66,375,152,335,93,91,81,1,5,4,6,2,3975,31,Alone,0,1,0
393,Postgraduate,51012.0,86,102,9,63,2,9,24,1,4,1,4,6,4326,78,Partner,0,2,0
394,Postgraduate,70777.0,80,554,35,113,0,7,78,3,5,3,12,3,3954,56,Partner,1,3,1
395,Postgraduate,68682.0,56,919,0,505,99,30,45,1,4,9,10,2,4338,33,Partner,0,2,0
396,Graduate,43824.0,18,96,1,42,12,3,32,4,3,1,4,8,4695,53,Partner,2,4,1
397,Graduate,15345.0,51,5,2,16,3,2,19,2,1,1,2,8,4679,40,Partner,1,3,1
398,Graduate,23442.0,71,2,0,6,8,6,5,1,1,0,3,7,4686,37,Alone,1,2,1
399,Undergraduate,14515.0,71,6,4,9,6,36,35,4,2,2,3,7,4701,44,Partner,1,3,1
400,Undergraduate,31395.0,80,23,1,25,0,8,7,4,2,1,3,6,4321,68,Alone,2,3,1
401,Graduate,75276.0,2,610,105,125,137,42,21,1,9,4,9,5,4683,59,Partner,0,2,0
402,Graduate,42373.0,83,67,5,61,3,8,19,5,2,1,5,5,4329,50,Alone,2,3,1
403,Graduate,30507.0,29,65,36,74,38,20,110,1,5,1,4,7,4333,64,Partner,0,2,0
404,Postgraduate,55521.0,11,416,0,26,0,0,4,9,6,3,6,7,4322,69,Alone,3,4,1
405,Graduate,48006.0,55,23,0,11,3,2,2,1,1,0,3,6,3970,59,Partner,2,4,1
406,Postgraduate,27213.0,19,19,3,26,10,9,3,3,2,0,4,8,4680,52,Alone,1,2,1
407,Postgraduate,65808.0,1,155,7,80,13,7,10,3,5,1,5,6,3949,53,Alone,2,3,1
408,Postgraduate,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,4338,50,Partner,1,3,1
409,Graduate,50437.0,28,370,9,92,6,9,4,3,7,1,8,7,4693,61,Partner,2,4,1
410,Undergraduate,23616.0,76,4,22,11,3,7,32,2,3,0,3,8,4693,42,Alone,1,2,1
411,Graduate,53858.0,50,407,53,221,58,150,26,4,4,3,6,4,4701,48,Partner,1,3,1
412,Postgraduate,66465.0,1,1200,0,204,38,29,14,3,11,9,12,6,4314,69,Partner,1,3,1
413,Graduate,46923.0,90,85,44,54,102,78,6,3,5,1,7,7,4688,37,Alone,1,2,1
414,Graduate,75072.0,83,583,34,309,0,22,125,2,5,4,8,3,4321,62,Partner,1,3,1
415,Postgraduate,75865.0,73,483,0,591,156,0,12,1,3,5,10,1,3948,81,Partner,0,2,0
416,Undergraduate,19789.0,24,2,5,9,28,6,28,3,2,1,3,5,4324,49,Partner,1,3,1
417,Graduate,80134.0,11,966,26,282,52,26,26,1,2,7,11,5,3965,30,Partner,0,2,0
418,Graduate,91065.0,33,822,114,108,179,137,114,1,7,9,9,3,4322,43,Alone,0,1,0
419,Postgraduate,49505.0,4,604,0,100,19,0,28,9,10,2,8,8,4339,53,Partner,2,4,1
420,Postgraduate,37401.0,14,19,3,19,3,1,3,2,2,0,3,7,3973,51,Partner,1,3,1
421,Graduate,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,3957,41,Partner,1,3,1
422,Postgraduate,18492.0,75,2,2,2,2,1,1,1,1,0,2,8,3974,42,Partner,1,3,1
423,Postgraduate,82584.0,26,1076,68,103,29,91,68,1,3,4,8,1,4340,50,Partner,0,2,0
424,Postgraduate,93027.0,77,1285,42,716,55,0,21,0,7,10,5,2,4331,83,Partner,0,2,0
425,Graduate,48686.0,8,10,0,7,2,0,1,1,1,0,2,8,4340,71,Partner,3,5,1
426,Graduate,92910.0,42,551,137,792,179,103,33,1,6,7,13,1,3955,38,Partner,0,2,0
427,Graduate,75433.0,28,800,0,297,0,34,57,2,2,5,10,6,3974,35,Partner,1,3,1
428,Undergraduate,10404.0,52,2,2,11,10,6,12,2,1,0,4,5,3975,35,Partner,1,3,1
429,Graduate,61314.0,1,378,0,189,97,172,172,2,5,5,12,3,4319,56,Partner,1,3,1
430,Postgraduate,84865.0,1,1248,16,349,43,16,16,1,2,4,9,4,4335,63,Alone,0,1,0
431,Graduate,42387.0,42,235,0,235,19,4,191,5,8,1,7,8,4681,35,Partner,1,3,1
432,Undergraduate,67309.0,76,515,47,181,149,95,95,15,9,6,9,7,4321,57,Partner,2,4,1
433,Graduate,75236.0,27,438,66,400,12,38,114,1,8,3,13,4,4319,60,Partner,1,3,1
434,Graduate,30015.0,28,25,0,22,2,3,5,2,1,0,4,5,3977,54,Alone,1,2,1
435,Postgraduate,50943.0,49,31,0,7,2,0,6,1,1,0,3,5,4323,68,Partner,1,3,1
436,Graduate,67272.0,12,357,35,271,28,28,14,3,6,2,12,5,4323,58,Alone,1,2,1
437,Postgraduate,51529.0,14,400,4,35,6,0,22,2,9,1,5,8,4337,75,Alone,1,2,1
438,Postgraduate,32011.0,89,99,0,15,2,1,5,3,2,1,4,7,4322,53,Partner,1,3,1
439,Undergraduate,7500.0,96,1,11,5,4,6,9,2,2,0,3,8,4337,38,Partner,1,3,1
440,Graduate,28691.0,56,5,4,13,8,0,4,1,1,0,3,8,4340,35,Partner,1,3,1
441,Postgraduate,56223.0,72,77,28,31,16,0,4,2,2,1,5,4,4324,76,Partner,1,3,1
442,Graduate,18100.0,14,3,1,2,4,3,1,1,0,0,3,5,4338,78,Partner,0,2,0
443,Graduate,30279.0,13,10,4,14,4,4,1,1,1,0,3,8,4680,35,Alone,1,2,1
444,Undergraduate,20130.0,99,0,6,3,7,6,12,1,1,0,3,8,3962,50,Partner,0,2,0
445,Graduate,23295.0,72,0,0,1,2,12,5,1,1,0,2,8,4331,65,Alone,0,1,0
446,Postgraduate,42618.0,92,76,14,74,13,5,10,2,5,0,4,8,4335,52,Alone,1,2,1
447,Graduate,81246.0,87,398,190,537,61,156,37,1,4,5,7,1,4315,60,Alone,0,1,0
448,Graduate,24027.0,7,14,7,11,11,0,5,2,2,0,3,8,4335,48,Partner,1,3,1
449,Postgraduate,55707.0,91,208,7,82,30,66,35,2,3,2,9,3,4322,71,Partner,1,3,1
450,Graduate,57959.0,71,430,16,322,43,24,33,5,4,7,11,3,4342,69,Alone,1,2,1
451,Graduate,56796.0,24,656,38,161,62,47,37,3,8,9,7,7,4328,55,Partner,1,3,1
452,Postgraduate,36230.0,17,14,2,30,8,2,3,1,2,0,4,5,4327,53,Alone,1,2,1
453,Undergraduate,70829.0,87,141,70,106,72,19,23,2,4,2,8,3,4343,44,Partner,2,4,1
454,Graduate,65991.0,21,507,19,364,25,47,9,3,9,5,10,7,4703,48,Partner,1,3,1
455,Graduate,38988.0,90,164,24,103,12,3,42,7,5,1,6,8,4690,52,Partner,3,5,1
456,Undergraduate,89572.0,44,606,24,974,197,194,64,1,7,7,9,4,4695,58,Alone,0,1,0
457,Postgraduate,42207.0,71,116,11,72,3,17,46,4,4,1,5,6,4343,40,Partner,1,3,1
458,Graduate,50300.0,52,143,15,60,24,23,5,2,2,1,8,2,3954,72,Partner,1,3,1
459,Undergraduate,66664.0,78,398,96,447,220,96,32,1,5,7,6,3,4685,42,Partner,0,2,0
460,Graduate,60597.0,2,522,0,257,32,16,66,4,2,2,8,7,3978,60,Partner,1,3,1
461,Graduate,70165.0,60,161,0,253,199,191,122,1,3,7,11,1,4322,75,Alone,0,1,0
462,Postgraduate,50520.0,25,112,0,6,2,1,14,2,3,1,3,6,3951,66,Alone,1,2,1
463,Graduate,80124.0,47,483,84,398,205,84,241,1,3,7,8,1,3953,61,Partner,0,2,0
464,Graduate,33183.0,46,7,5,39,17,15,37,2,4,0,3,7,3955,49,Partner,1,3,1
465,Postgraduate,66582.0,83,789,25,420,16,38,0,1,2,8,9,1,3976,55,Alone,0,1,0
466,Postgraduate,75261.0,17,1239,17,413,23,34,17,1,5,6,5,2,4321,69,Partner,0,2,0
467,Graduate,31880.0,13,4,1,5,2,0,3,1,1,0,2,8,4679,54,Alone,1,2,1
468,Graduate,53790.0,86,335,42,127,28,5,5,3,7,2,8,6,3973,73,Partner,2,4,1
469,Postgraduate,49269.0,92,639,8,166,11,8,58,3,7,3,12,7,4695,53,Partner,1,3,1
470,Graduate,61456.0,47,563,76,384,84,192,89,4,6,10,13,4,4317,49,Partner,1,3,1
471,Graduate,37406.0,18,2,0,8,2,2,3,1,1,0,2,8,4334,44,Partner,1,3,1
472,Postgraduate,56937.0,81,746,8,125,11,8,8,7,8,6,9,6,4706,43,Partner,1,3,1
473,Graduate,38415.0,91,22,1,13,4,0,4,2,1,0,3,7,4342,46,Partner,2,4,1
474,Graduate,20518.0,58,4,1,6,4,1,9,1,1,1,2,5,3961,36,Alone,1,2,1
475,Graduate,62503.0,40,478,0,193,110,75,117,4,8,3,11,5,4326,68,Partner,1,3,1
476,Postgraduate,41644.0,67,20,3,4,2,0,2,2,1,0,3,3,3970,52,Alone,2,3,1
477,Postgraduate,55842.0,19,451,0,39,0,4,24,1,7,1,8,5,3956,47,Partner,1,3,1
478,Postgraduate,62010.0,93,371,22,39,6,0,92,4,6,2,7,5,4687,52,Partner,1,3,1
479,Graduate,41124.0,41,281,7,84,15,0,119,7,7,3,4,8,4679,47,Partner,1,3,1
480,Postgraduate,38961.0,60,19,7,19,0,1,24,1,2,1,2,7,4314,51,Partner,1,3,1
481,Postgraduate,37760.0,54,26,3,13,2,10,0,1,2,0,3,6,4333,52,Alone,1,2,1
482,Graduate,32233.0,26,138,15,35,25,11,72,2,6,2,2,9,4691,50,Alone,1,2,1
483,Graduate,43057.0,30,213,2,44,0,2,5,4,4,2,5,5,4314,49,Partner,1,3,1
484,Postgraduate,83151.0,93,407,28,100,120,74,18,1,5,9,4,3,4700,64,Partner,0,2,0
485,Postgraduate,78825.0,35,483,74,114,169,37,18,1,5,10,13,3,4696,60,Alone,0,1,0
486,Postgraduate,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,4330,48,Partner,1,3,1
487,Graduate,60093.0,92,502,12,109,16,6,90,2,7,2,10,6,4318,50,Partner,1,3,1
488,Graduate,14045.0,24,11,0,5,2,1,1,1,1,0,3,7,3953,55,Partner,1,3,1
489,Undergraduate,28457.0,96,24,1,108,29,29,14,1,4,1,4,8,4682,72,Alone,0,1,0
490,Postgraduate,78952.0,11,1170,19,594,99,76,134,2,2,5,12,6,4686,66,Partner,1,3,1
491,Graduate,46310.0,99,185,2,88,15,5,14,2,6,1,5,8,4707,48,Alone,1,2,1
492,Graduate,76005.0,72,983,20,389,240,50,40,1,3,5,13,6,4322,69,Partner,0,2,0
493,Postgraduate,58308.0,77,691,0,69,10,0,130,4,2,6,3,8,4332,60,Alone,1,2,1
494,Postgraduate,55614.0,85,504,13,131,8,0,26,1,9,4,6,7,4317,80,Alone,0,1,0
495,Postgraduate,59432.0,88,317,25,265,25,19,12,3,5,3,11,5,4331,62,Alone,1,2,1
496,Graduate,55563.0,22,29,1,9,2,0,2,1,2,0,3,3,3974,46,Alone,1,2,1
497,Postgraduate,78642.0,83,1396,0,322,46,35,17,1,4,9,4,6,4323,53,Partner,1,3,1
498,Postgraduate,67911.0,63,529,0,356,63,28,0,3,6,7,11,3,3957,75,Partner,1,3,1
499,Graduate,65275.0,9,388,14,218,91,14,21,1,4,3,13,2,4341,80,Partner,0,2,0
500,Graduate,27203.0,92,13,2,21,4,0,24,2,1,1,2,8,4704,74,Partner,2,4,1
501,Postgraduate,48330.0,2,28,0,4,0,0,0,1,1,0,3,5,4329,63,Partner,1,3,1
502,Undergraduate,24279.0,6,16,36,21,20,62,108,1,4,1,3,8,4681,34,Partner,0,2,0
503,Postgraduate,64355.0,66,1047,0,140,67,38,153,2,4,3,12,8,4686,39,Partner,1,3,1
504,Postgraduate,50943.0,49,31,0,7,2,0,6,1,1,0,3,5,4323,68,Partner,1,3,1
505,Graduate,53653.0,29,815,10,239,28,10,108,2,10,4,12,6,4703,71,Alone,0,1,0
506,Graduate,65665.0,77,225,162,387,106,36,29,1,5,10,8,3,4342,48,Partner,1,3,1
507,Graduate,81217.0,77,493,70,324,146,40,84,1,3,7,11,1,4325,35,Alone,0,1,0
508,Graduate,34935.0,71,34,4,66,3,10,20,1,2,1,4,7,4323,32,Partner,0,2,0
509,Graduate,61250.0,49,382,138,65,60,26,59,6,5,2,12,5,4694,65,Alone,1,2,1
510,Postgraduate,39665.0,97,127,1,56,0,1,31,3,4,2,3,7,4319,43,Partner,1,3,1
511,Graduate,60152.0,6,325,83,300,86,58,91,1,6,4,12,3,4316,45,Alone,1,2,1
512,Graduate,48920.0,93,238,17,68,8,10,6,3,6,2,5,7,4324,60,Partner,2,4,1
513,Postgraduate,89120.0,78,1168,92,408,72,129,55,1,5,6,7,1,3962,65,Partner,0,2,0
514,Postgraduate,44124.0,62,284,0,55,0,6,52,4,6,2,5,8,4333,78,Partner,1,3,1
515,Postgraduate,81169.0,47,1288,20,613,80,61,27,1,5,7,9,2,4330,49,Alone,0,1,0
516,Graduate,36443.0,9,65,0,46,4,3,20,4,3,1,3,8,4341,63,Partner,2,4,1
517,Graduate,26095.0,77,11,7,9,3,1,11,1,1,0,3,7,4314,34,Alone,1,2,1
518,Graduate,71367.0,24,227,23,389,42,21,75,1,4,5,7,2,4321,65,Partner,0,2,0
519,Postgraduate,80184.0,19,1035,134,670,25,38,0,1,6,3,10,3,3978,80,Partner,0,2,0
520,Graduate,30630.0,67,27,1,12,2,0,10,2,2,0,3,7,3952,59,Alone,2,3,1
521,Postgraduate,73454.0,95,982,73,351,56,14,175,1,2,4,6,5,3978,37,Alone,0,1,0
522,Graduate,42691.0,48,179,2,64,38,17,58,1,5,1,6,5,4328,33,Partner,0,2,0
523,Graduate,70503.0,73,1379,33,216,0,33,66,1,2,4,9,6,4680,71,Partner,0,2,0
524,Graduate,25545.0,35,32,1,64,16,12,85,3,2,2,3,6,4702,37,Partner,1,3,1
525,Graduate,32880.0,76,8,4,15,7,6,2,1,1,0,3,8,4706,38,Partner,1,3,1
526,Postgraduate,77863.0,20,881,38,319,16,25,12,1,4,5,10,2,4317,66,Partner,0,2,0
527,Postgraduate,50353.0,72,141,15,153,67,31,35,1,4,4,6,3,3971,47,Partner,0,2,0
528,Graduate,61839.0,20,1000,155,379,224,17,120,1,4,8,4,8,4698,60,Alone,0,1,0
